topBid,topAsk,bidVol,askVol
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,4.17671924
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,1.67671924
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,4.17671924
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,1.67671924
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,4.17671924
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,1.67671924
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,4.17671924
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,1.67671924
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,1.64414977
2018-11-07T19:24:47.0000000,6511.21,6511.22,18.00658453,1.67251673
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.61473219
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.57796021
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54959325
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.60699424
2018-11-07T19:24:48.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
