topBid,topAsk,bidVol,askVol
6328.08,6329.35,0,0
6328.08,6329.35,0.00275926,0
6328.09,6329.37,0.00275926,0
6328.09,6329.37,0.242737,0
6328.09,6329.37,0.002737,0
6328.1,6329.37,0.002737,0
6328.1,6329.37,0,0
6328.1,6329.37,0.00271475,0
6328.12,6329.35,0.00271475,0
6328.12,6329.35,0,0
6328.12,6329.35,0.01546992,0
6328.12,6329.35,0,0
6328.12,6329.35,0.01546992,0
6328.12,6329.35,0,0
6328.12,6329.35,0.01546996,0
6328.12,6329.35,0,0
6328.12,6329.35,0.01546992,0
6328.12,6329.35,0,0
6328.01,6329.35,0,0
6328.01,6329.35,0.07382818,0
6328.01,6329.35,0.07382818,0
6328.01,6329.35,1.07382818,0
6328.01,6329.35,1.07382818,0
6328.01,6329.35,1.31461203,0
6328.01,6329.35,1.24078385,0
6328.01,6329.35,0.24078385,0
6328.01,6329.35,0,0
6328.01,6329.35,0.23,0
6328.01,6329.35,0.31,0
6328.01,6329.35,0.08,0
6328.01,6329.35,0.19391259,0
6328.01,6329.35,0.19391259,2.5
6328.01,6329.35,0.19391259,3.5
6328.01,6329.35,0.19391259,2.5
6328.01,6329.35,0.11391259,2.5
6328.01,6329.35,0,2.5
6328.01,6329.35,0,10
6328.06,6329.34,0,10
6328.06,6329.34,0,10
6328.06,6329.34,0.01547006,10
6328.06,6329.34,0,10
6328.06,6329.34,0.23,10
6328.06,6329.34,0.24547006,10
6328.06,6329.34,0.01547006,10
6328.07,6329.33,0.01547006,10
6328.07,6329.33,0,10
6328.07,6329.33,0.24,10
6328.07,6329.33,0,10
6328.07,6329.33,0,0.29597523
6328.07,6329.33,0.24,0.29597523
6328.07,6329.33,0.24,0.00273674
6328.07,6329.33,0,0.00273674
6328.07,6329.33,0,7.50273674
6328.07,6329.33,0,0.00273674
6328.07,6329.33,0,7.50273674
6328.07,6329.33,0,0.00273674
6328.07,6329.33,0,7.50273674
6328.07,6329.33,0,0.00273674
6328.07,6329.33,0,7.50273674
6328.07,6329.33,0,0.00273674
6328.07,6329.33,0,7.50273674
6328.07,6329.33,0,0.00273674
6328.07,6329.33,0,7.50273674
6328.07,6329.33,0,0.00273674
6328.07,6329.33,0,7.50273674
6328.07,6329.33,0,0.00273674
6328.07,6329.33,0,0
6328.1,6329.37,0,0
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,0,7.67438149
6328.1,6329.37,0,0.17438149
6328.1,6329.37,1.06768,0.17438149
6328.1,6329.37,1.070417,0.17438149
6328.1,6329.37,0.070417,0.17438149
6328.1,6329.37,0.002737,0.17438149
6328.1,6329.37,0,0.17438149
6328.15,6329.32,0,0.17438149
6328.15,6329.32,0,0
6328.15,6329.32,0,7.5
6328.15,6329.32,0,0
6328.15,6329.32,0,0
6328.15,6329.32,1,0
6328.15,6329.32,1.01546993,0
6328.16,6329.34,1.01546993,0
